rueckennummer,name,pos,birth_date,age,nationalities,marktwerte
1,Manuel Neuer,Torwart,27.03.1986,36,Deutschland,"15,00 Mio. €"
26,Sven Ulreich,Torwart,03.08.1988,33,Deutschland,900 Tsd. €
36,Christian Früchtl,Torwart,28.01.2000,22,Deutschland,600 Tsd. €
21,Lucas Hernández,Innenverteidiger,14.02.1996,26,Frankreich/Spanien,"50,00 Mio. €"
2,Dayot Upamecano,Innenverteidiger,27.10.1998,23,Frankreich/Guinea-Bissau,"40,00 Mio. €"
4,Niklas Süle,Innenverteidiger,03.09.1995,26,Deutschland,"35,00 Mio. €"
23,Tanguy Nianzou,Innenverteidiger,07.06.2002,20,Frankreich/Elfenbeinküste,"9,00 Mio. €"
19,Alphonso Davies,Linker Verteidiger,02.11.2000,21,Kanada/Liberia,"70,00 Mio. €"
3,Omar Richards,Linker Verteidiger,15.02.1998,24,England/Jamaika,"7,00 Mio. €"
5,Benjamin Pavard,Rechter Verteidiger,28.03.1996,26,Frankreich,"30,00 Mio. €"
44,Josip Stanisic,Rechter Verteidiger,02.04.2000,22,Kroatien/Deutschland,"4,00 Mio. €"
20,Bouna Sarr,Rechter Verteidiger,31.01.1992,30,Senegal/Frankreich,"2,50 Mio. €"
6,Joshua Kimmich,Defensives Mittelfeld,08.02.1995,27,Deutschland,"80,00 Mio. €"
22,Marc Roca,Defensives Mittelfeld,26.11.1996,25,Spanien,"7,00 Mio. €"
8,Leon Goretzka,Zentrales Mittelfeld,06.02.1995,27,Deutschland,"65,00 Mio. €"
18,Marcel Sabitzer,Zentrales Mittelfeld,17.03.1994,28,Österreich,"15,00 Mio. €"
24,Corentin Tolisso,Zentrales Mittelfeld,03.08.1994,27,Frankreich/Togo,"15,00 Mio. €"
42,Jamal Musiala,Offensives Mittelfeld,26.02.2003,19,Deutschland/England,"65,00 Mio. €"
14,Paul Wanner,Offensives Mittelfeld,23.12.2005,16,Deutschland/Österreich,"2,00 Mio. €"
40,Malik Tillman,Offensives Mittelfeld,28.05.2002,20,Vereinigte Staaten/Deutschland,"1,50 Mio. €"
10,Leroy Sané,Linksaußen,11.01.1996,26,Deutschland/Frankreich,"60,00 Mio. €"
7,Serge Gnabry,Rechtsaußen,14.07.1995,26,Deutschland/Elfenbeinküste,"65,00 Mio. €"
11,Kingsley Coman,Rechtsaußen,13.06.1996,26,Frankreich/Guadeloupe,"60,00 Mio. €"
25,Thomas Müller,Hängende Spitze,13.09.1989,32,Deutschland,"22,00 Mio. €"
9,Robert Lewandowski,Mittelstürmer,21.08.1988,33,Polen,"45,00 Mio. €"
13,Eric Maxim Choupo-Moting,Mittelstürmer,23.03.1989,33,Kamerun/Deutschland,"3,00 Mio. €"
