verein,marktwert,date
FC Bayern München,769.50,2022-06-15
Borussia Dortmund,538.65,2022-06-15
RasenBallsport Leipzig,449.20,2022-06-15
Bayer 04 Leverkusen,434.05,2022-06-15
Eintracht Frankfurt,224.00,2022-06-15
VfL Wolfsburg,222.70,2022-06-15
Borussia Mönchengladbach,204.20,2022-06-15
TSG 1899 Hoffenheim,200.70,2022-06-15
VfB Stuttgart,165.30,2022-06-15
SC Freiburg,158.45,2022-06-15
1.FSV Mainz 05,123.10,2022-06-15
1.FC Köln,94.08,2022-06-15
FC Augsburg,93.70,2022-06-15
Hertha BSC,90.55,2022-06-15
1.FC Union Berlin,82.10,2022-06-15
Arminia Bielefeld,57.15,2022-06-15
VfL Bochum,51.00,2022-06-15
SpVgg Greuther Fürth,32.10,2022-06-15
FC Bayern München,804.50,2022-06-01
Borussia Dortmund,560.25,2022-06-01
RasenBallsport Leipzig,465.60,2022-06-01
Bayer 04 Leverkusen,434.45,2022-06-01
Eintracht Frankfurt,199.05,2022-06-01
VfL Wolfsburg,236.50,2022-06-01
Borussia Mönchengladbach,220.30,2022-06-01
TSG 1899 Hoffenheim,211.45,2022-06-01
VfB Stuttgart,161.50,2022-06-01
SC Freiburg,152.58,2022-06-01
1.FSV Mainz 05,122.05,2022-06-01
1.FC Köln,82.38,2022-06-01
FC Augsburg,97.80,2022-06-01
Hertha BSC,96.20,2022-06-01
1.FC Union Berlin,73.00,2022-06-01
Arminia Bielefeld,63.55,2022-06-01
VfL Bochum,49.65,2022-06-01
SpVgg Greuther Fürth,32.95,2022-06-01
FC Bayern München,804.50,2022-05-15
Borussia Dortmund,560.25,2022-05-15
RasenBallsport Leipzig,465.60,2022-05-15
Bayer 04 Leverkusen,434.45,2022-05-15
Eintracht Frankfurt,199.05,2022-05-15
VfL Wolfsburg,236.50,2022-05-15
Borussia Mönchengladbach,220.30,2022-05-15
TSG 1899 Hoffenheim,211.45,2022-05-15
VfB Stuttgart,161.50,2022-05-15
SC Freiburg,152.58,2022-05-15
1.FSV Mainz 05,122.05,2022-05-15
1.FC Köln,82.38,2022-05-15
FC Augsburg,97.80,2022-05-15
Hertha BSC,96.20,2022-05-15
1.FC Union Berlin,73.00,2022-05-15
Arminia Bielefeld,63.55,2022-05-15
VfL Bochum,49.65,2022-05-15
SpVgg Greuther Fürth,32.95,2022-05-15
FC Bayern München,804.50,2022-05-01
Borussia Dortmund,560.25,2022-05-01
RasenBallsport Leipzig,465.60,2022-05-01
